periode_data;nama_sungai;nama_lokasi;parameter;satuan;nilai
201511;BANJIR KANAL TIMUR;TAMAN KOTA;T-P;MG/L;0.1
201511;BANJIR KANAL TIMUR;TAMAN KOTA;FENOL;?/L;-
201511;BANJIR KANAL TIMUR;TAMAN KOTA;MINYAK LEMAK;?/L;0.06
201511;BANJIR KANAL TIMUR;TAMAN KOTA;DETERGEN;?/L;0.15
201511;BANJIR KANAL TIMUR;TAMAN KOTA;FECAL COLIFORM;JMLH/100ML;26
201511;BANJIR KANAL TIMUR;TAMAN KOTA;TOTAL COLIFORM;JMLH/100ML;94
201511;BANJIR KANAL TIMUR;TAMAN KOTA;SIANIDA;MG/L;-
201511;BANJIR KANAL TIMUR;TAMAN KOTA;H2S;MG/L;-
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;KOORDINAT DERAJAT LINTANG;-;-
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;KOORDINAT MENIT LINTANG;-;-
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;KOORDINAT DETIK LINTANG;-;-
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;KOORDINAT DERAJAT BUJUR TIMUR;-;-
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;KOORDINAT MENIT BUJUR TIMUR;-;-
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;KOORDINAT DETIK BUJUR TIMUR;-;-
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;WAKTU SAMPLING;-;-
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;TEMPERATUR;CELCIUS;-
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;RESIDU TERLARUT;MG/L;322
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;RESIDU TERSUSPENSI;MG/L;58
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;PH;-;7.6
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;DHL;MG/L;793
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;TDS;MG/L;322
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;TSS;MG/L;58
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;DO;MG/L;0
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;BOD;MG/L;10.57
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;COD;MG/L;55.45
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;NO2;MG/L;-
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;NO3;MG/L;-
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;NH3;MG/L;-
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;KLORIN BEBAS;MG/L;-
201511;SUNGAI PESANGGRAHAN;JL.CIPUTAT PASAR JUMAT/LEBAK BULUS;T-P JUMLAH;-;-
201511;SUNGAI PESANGGRAHAN;JL.CIPUTAT PASAR JUMAT/LEBAK BULUS;T-P;MG/L;0.05
201511;SUNGAI PESANGGRAHAN;JL.CIPUTAT PASAR JUMAT/LEBAK BULUS;FENOL;?/L;-
201511;SUNGAI PESANGGRAHAN;JL.CIPUTAT PASAR JUMAT/LEBAK BULUS;MINYAK LEMAK;?/L;0.15
201511;SUNGAI PESANGGRAHAN;JL.CIPUTAT PASAR JUMAT/LEBAK BULUS;DETERGEN;?/L;0.17
201511;SUNGAI PESANGGRAHAN;JL.CIPUTAT PASAR JUMAT/LEBAK BULUS;FECAL COLIFORM;JMLH/100ML;10
201511;SUNGAI PESANGGRAHAN;JL.CIPUTAT PASAR JUMAT/LEBAK BULUS;TOTAL COLIFORM;JMLH/100ML;80
201511;SUNGAI PESANGGRAHAN;JL.CIPUTAT PASAR JUMAT/LEBAK BULUS;SIANIDA;MG/L;-
201511;SUNGAI PESANGGRAHAN;JL.CIPUTAT PASAR JUMAT/LEBAK BULUS;H2S;MG/L;-
201511;SUNGAI KRUKUT;TANAH KUSIR;KOORDINAT DERAJAT LINTANG;-;-
201511;SUNGAI KRUKUT;TANAH KUSIR;KOORDINAT MENIT LINTANG;-;-
201511;SUNGAI KRUKUT;TANAH KUSIR;KOORDINAT DETIK LINTANG;-;-
201511;SUNGAI KRUKUT;TANAH KUSIR;KOORDINAT DERAJAT BUJUR TIMUR;-;-
201511;SUNGAI KRUKUT;TANAH KUSIR;KOORDINAT MENIT BUJUR TIMUR;-;-
201511;SUNGAI KRUKUT;TANAH KUSIR;KOORDINAT DETIK BUJUR TIMUR;-;-
201511;SUNGAI KRUKUT;TANAH KUSIR;WAKTU SAMPLING;-;-
201511;SUNGAI KRUKUT;TANAH KUSIR;TEMPERATUR;CELCIUS;-
201511;SUNGAI KRUKUT;TANAH KUSIR;RESIDU TERLARUT;MG/L;83.5
201511;SUNGAI KRUKUT;TANAH KUSIR;RESIDU TERSUSPENSI;MG/L;100
201511;SUNGAI KRUKUT;TANAH KUSIR;PH;-;7.6
201511;SUNGAI KRUKUT;TANAH KUSIR;DHL;MG/L;158.3
201511;SUNGAI KRUKUT;TANAH KUSIR;TDS;MG/L;83.5
201511;SUNGAI KRUKUT;TANAH KUSIR;TSS;MG/L;100
201511;SUNGAI KRUKUT;TANAH KUSIR;DO;MG/L;0
201511;SUNGAI KRUKUT;TANAH KUSIR;BOD;MG/L;5.69
201511;SUNGAI KRUKUT;TANAH KUSIR;COD;MG/L;15.69
201511;SUNGAI KRUKUT;TANAH KUSIR;NO2;MG/L;-
201511;SUNGAI KRUKUT;TANAH KUSIR;NO3;MG/L;-
201511;SUNGAI KRUKUT;TANAH KUSIR;NH3;MG/L;-
201511;SUNGAI KRUKUT;TANAH KUSIR;KLORIN BEBAS;MG/L;-
201511;SUNGAI KRUKUT;TANAH KUSIR;T-P JUMLAH;-;<
201511;SUNGAI KRUKUT;TANAH KUSIR;T-P;MG/L;0.024
201511;SUNGAI KRUKUT;TANAH KUSIR;FENOL;?/L;-
201511;SUNGAI KRUKUT;TANAH KUSIR;MINYAK LEMAK;?/L;0.07
201511;SUNGAI KRUKUT;TANAH KUSIR;DETERGEN;?/L;0.08
201511;SUNGAI KRUKUT;TANAH KUSIR;FECAL COLIFORM;JMLH/100ML;1
201511;SUNGAI KRUKUT;TANAH KUSIR;TOTAL COLIFORM;JMLH/100ML;81
201511;SUNGAI KRUKUT;TANAH KUSIR;SIANIDA;MG/L;-
201511;SUNGAI KRUKUT;TANAH KUSIR;H2S;MG/L;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;KOORDINAT DERAJAT LINTANG;-;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;KOORDINAT MENIT LINTANG;-;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;KOORDINAT DETIK LINTANG;-;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;KOORDINAT DERAJAT BUJUR TIMUR;-;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;KOORDINAT MENIT BUJUR TIMUR;-;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;KOORDINAT DETIK BUJUR TIMUR;-;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;WAKTU SAMPLING;-;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;TEMPERATUR;CELCIUS;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;RESIDU TERLARUT;MG/L;101.3
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;RESIDU TERSUSPENSI;MG/L;60
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;PH;-;7.4
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;DHL;MG/L;191.2
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;T-P JUMLAH;-;-
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;T-P;MG/L;0.94
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;FENOL;?/L;-
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;MINYAK LEMAK;?/L;0.11
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;DETERGEN;?/L;1.59
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;FECAL COLIFORM;JMLH/100ML;3400000
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;TOTAL COLIFORM;JMLH/100ML;9600000
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;SIANIDA;MG/L;-
201511;BANJIR KANAL TIMUR;CIPINANG INDAH;H2S;MG/L;-
201511;BANJIR KANAL TIMUR;MARUNDA;KOORDINAT DERAJAT LINTANG;-;-
201511;BANJIR KANAL TIMUR;MARUNDA;KOORDINAT MENIT LINTANG;-;-
201511;BANJIR KANAL TIMUR;MARUNDA;KOORDINAT DETIK LINTANG;-;-
201511;BANJIR KANAL TIMUR;MARUNDA;KOORDINAT DERAJAT BUJUR TIMUR;-;-
201511;BANJIR KANAL TIMUR;MARUNDA;KOORDINAT MENIT BUJUR TIMUR;-;-
